,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
144,Torpedo,Torpedo,AFFKT,2020-11-09,485105,1,0.697,0.00495,0.697,0.921,0.809,0.0571,-7.727,0.0461,120.004,4
145,Parler Musique,Parler Musique,Bézier,2018-03-12,426070,3,0.512,0.000258,0.512,0.775,0.907,0.552,-8.448,0.0345,127.997,4
146,Loops For Healing,For Lovers,Octo Octa,2019-03-01,327457,40,0.761,0.0474,0.761,0.699,0.848,0.0934,-11.836,0.0597,118.001,4
147,Silver,Our Love (Expanded Edition),Caribou,2015-03-10,316653,0,0.61,0.142,0.61,0.607,0.167,0.104,-8.638,0.0399,80.011,4
148,Alley Cats,One Life Stand,Hot Chip,2010-02-01,319818,35,0.734,0.465,0.734,0.526,0.000251,0.11,-8.086,0.0492,125.936,4
149,Home,This Is Happening,LCD Soundsystem,2010-05-17,473333,53,0.752,0.0462,0.752,0.844,0.131,0.0782,-8.705,0.0398,124.013,4
150,Drops,Drops,Nico,2020-10-09,278873,0,0.769,0.323,0.769,0.888,0.851,0.0768,-12.386,0.0543,142.008,4
151,Give A Little,Heard It In A Past Life,Maggie Rogers,2019-01-18,226720,54,0.618,0.211,0.618,0.695,3.96e-05,0.11,-5.415,0.189,199.95,3
152,Jason,Endless Summer,The Midnight,2016-08-01,331743,54,0.526,0.00628,0.526,0.768,0.00164,0.153,-8.28,0.0297,161.936,4
153,Running in the Night,Atlas,FM-84,2016-04-25,270000,55,0.527,0.00664,0.527,0.714,1.16e-06,0.0672,-8.929,0.0371,133.015,4
154,168 North,Good Timin' Vol. 1,Various Artists,2019-03-01,371516,8,0.805,0.000648,0.805,0.7,0.849,0.0509,-8.187,0.0716,116.994,4
155,Transition,Galaxy 2 Galaxy: A High Tech Jazz Compilation,Galaxy 2 Galaxy,2005,385413,23,0.648,0.000161,0.648,0.826,0.00357,0.147,-11.809,0.29,130.148,4
156,Japanese Elecktronics,Elektroworld,Elecktroids,2018-12-10,371923,8,0.888,0.13,0.888,0.538,0.286,0.0715,-7.999,0.132,129.454,4
157,Abraham's Theme,Chariots Of Fire (Original Motion Picture Soundtrack / Remastered),Vangelis,1981-03-14,200466,45,0.239,0.869,0.239,0.0196,0.761,0.0723,-27.547,0.0442,72.839,4
158,Twilight,"Soul Bag, Vol. 1",Various Artists,2019-07-28,406040,0,0.867,0.6,0.867,0.85,0.873,0.0958,-9.603,0.0476,107.788,4
159,Pacific 202,Ninety,808 State,1989-12-04,336400,45,0.543,0.00742,0.543,0.894,0.387,0.135,-7.743,0.06,128.275,4
160,Paper Moon,House Music Is Love 2 (Compiled & Mixed by Henri Kohn),Henri Kohn,2014-08-22,703680,10,0.763,4.14e-05,0.763,0.467,0.855,0.162,-15.095,0.0434,125.864,4
161,Offshore,Far From The Maddening Crowds,Chicane,1997-06-11,417807,43,0.589,0.0568,0.589,0.694,0.868,0.18,-9.043,0.0288,127.879,4
162,Fear in Flight,Bienvenida,Alexkid,2001-07-02,221706,5,0.767,0.0217,0.767,0.685,0.247,0.391,-8.541,0.0519,88.261,3
163,Emotional Content - Funk D'void Remix,Emotional Content,Chicco Secci,2004-01-19,478266,1,0.547,0.00301,0.547,0.696,0.947,0.107,-10.929,0.0335,129.496,4
164,Lovers in Paris - Willie May Remix,"Café Mambo, Music for Dreams: The Sunset Sessions, Vol. 1",Kenneth Bager,2013-07-08,524594,0,0.795,0.162,0.795,0.738,0.667,0.0996,-9.759,0.0548,120.019,4
165,The Pathways Of Our Lives,The Pathways Of Our Lives,Mark Barrott,2017-07-14,435118,21,0.737,0.0116,0.737,0.643,0.156,0.052,-9.317,0.101,93.006,4
166,Midnight on Rainbow Road,Midnight on Rainbow Road,Leon Vynehall,2016-02-26,383673,6,0.477,0.605,0.477,0.846,0.967,0.281,-7.532,0.0504,108.987,4
167,Besos - Kenneth Bager Remix,"Café Mambo, Music for Dreams: The Sunset Sessions, Vol. 1",Kenneth Bager,2013-07-08,593697,0,0.698,0.247,0.698,0.973,0.821,0.256,-7.019,0.038,109.022,4
168,Don't Stop the Dance - Todd Terje Remix,Cafe Mambo Ibiza - Twilight Sessions - Compiled by Kenneth Bager,Various Artists,2014-03-06,624933,0,0.699,0.32,0.699,0.785,0.848,0.59,-13.119,0.0408,126.007,4
169,Desert Man,Lost Girls,Bat For Lashes,2019-09-06,206346,29,0.474,0.11,0.474,0.491,2.89e-05,0.275,-9.602,0.0332,125.009,4
170,Let It Happen - Soulwax Remix,Currents B-Sides & Remixes,Tame Impala,2017-11-16,556924,53,0.745,0.191,0.745,0.847,0.808,0.112,-4.566,0.0341,125.02,4
171,Love Dog,Dear Science,TV On The Radio,2008-01-01,336480,20,0.344,0.102,0.344,0.781,0.305,0.0954,-7.506,0.0653,135.855,4
172,choronzon,Exit,Tangerine Dream,1985-05-01,248693,8,0.447,0.244,0.447,0.706,0.776,0.112,-13.763,0.064,198.965,4
173,Aeons,Apocalypso,The Presets,2008-04-12,203813,19,0.524,0.512,0.524,0.448,0.0326,0.0817,-11.319,0.0326,139.871,4
174,Ralome,Rest Proof Clockwork,Plaid,1999-06-21,269240,42,0.525,0.971,0.525,0.138,0.858,0.105,-23.333,0.0433,161.957,3
175,The Dude,The Dude,Quincy Jones,1981-01-01,337600,0,0.836,0.0676,0.836,0.551,0.00304,0.1,-12.954,0.0486,96.103,4
176,Tonight,Intimate Connection,Kleeer,1984-04-14,310666,38,0.844,0.322,0.844,0.33,0.713,0.0432,-14.718,0.044,105.066,4
177,Saturday Love Sunday,Sounds from the Far East,Soichi Terada,2015-03-23,356095,2,0.85,0.021,0.85,0.396,0.707,0.086,-9.425,0.132,103.555,3
178,Operator,Planetary Invasion,Midnight Star,1984-01-01,448240,37,0.804,0.0112,0.804,0.827,0.00388,0.0909,-8.188,0.0441,125.276,4
179,Caribbean Queen (No More Love On the Run),The Very Best of Billy Ocean,Billy Ocean,2010-04-26,244426,66,0.79,0.166,0.79,0.649,8.87e-05,0.092,-7.507,0.0265,113.798,4
180,Crockett's Theme,Miami Vice: Special Edition,Jan Hammer,2018-05-27,216000,46,0.488,0.00101,0.488,0.671,0.942,0.114,-9.906,0.0444,190.97,4
181,Ghostbusters,Greatest Hits,Ray Parker Jr.,1993-10-12,239133,59,0.778,0.0123,0.778,0.719,0.0262,0.297,-9.698,0.0345,115.4,4
182,Owner of a Lonely Heart,90125 (Deluxe Version),Yes,1983-06-01,268506,68,0.744,0.175,0.744,0.798,0.00367,0.26,-5.981,0.0364,125.061,4
183,The Safety Dance - Short Version,Rhythm Of Youth (Expanded Edition),Men Without Hats,1983-01-01,166826,46,0.526,0.0155,0.526,0.899,0.0,0.207,-5.733,0.043,100.343,4
184,Speed Demon - 2012 Remaster,Bad (Remastered),Michael Jackson,1987-08-31,242026,40,0.789,0.000777,0.789,0.748,0.479,0.304,-4.998,0.0521,98.9,4
185,Rhythm Nation,Rhythm Nation 1814,Janet Jackson,1989-09-19,330933,51,0.633,0.0504,0.633,0.931,0.109,0.375,-7.752,0.0686,109.116,4
186,Sleeptalking,Inflorescent,Friendly Fires,2019-08-16,211306,24,0.663,0.163,0.663,0.865,0.00012,0.0901,-4.58,0.0479,127.064,4
187,Japan,Weather,Tycho,2019-07-12,198842,35,0.602,0.0613,0.602,0.518,0.0516,0.25,-11.249,0.0426,166.163,4
188,Karlaplan,Off The Meds,Off The Meds,2020-11-20,218220,30,0.797,0.63,0.797,0.823,0.862,0.115,-9.56,0.0542,129.999,4
189,Blue Pedro,Blue Pedro,Bullion,2017-07-01,312826,37,0.789,0.365,0.789,0.642,0.862,0.071,-12.539,0.0649,112.007,4
190,Vapour Trail,Vapour Trail,Lone,2016-05-03,270581,6,0.677,0.00362,0.677,0.788,0.836,0.0886,-11.717,0.0527,130.006,4
191,Eyesdontlie,Vapor City,Machinedrum,2013-09-30,398717,18,0.582,0.00232,0.582,0.887,0.872,0.0458,-7.896,0.0635,174.015,4
192,To New York,Love Is a Liability,FaltyDL,2009-06-15,236720,0,0.817,0.363,0.817,0.682,0.0187,0.122,-7.343,0.216,136.04,4
193,ARP3,Shadows,Floating Points,2011-11-21,560810,34,0.824,0.0372,0.824,0.596,0.918,0.0751,-10.38,0.0936,124.943,4
194,Earth Beats - Kuniyuki,We Are Together,Kuniyuki Takahashi,2007-11-23,553200,2,0.433,0.19,0.433,0.675,0.911,0.498,-10.046,0.0646,123.972,4
195,Space Traveller,From Within,Nick Holder,1999,380560,5,0.705,0.0644,0.705,0.428,0.938,0.0981,-12.467,0.0513,121.725,4
196,Afternoon,Brand New Day,Mr. YT,2017-03-10,383536,13,0.692,0.000253,0.692,0.834,0.925,0.0876,-8.949,0.039,123.948,4
197,"""43""",Level 42,Level 42,1981-01-01,422293,16,0.565,0.00498,0.565,0.699,0.405,0.0568,-12.587,0.0449,119.548,3
198,Starlette - Full Length Album Mix,The B. B. & Q. Band / All Night Long (Special Expanded Edition),The B. B. & Q. Band,2013-01-11,297120,0,0.733,0.116,0.733,0.883,0.000182,0.316,-7.522,0.0526,120.46,4
199,Nights (Feel Like Gettin' Down),Nights (Feel Like Getting Down) [Expanded Edition],Billy Ocean,1981,282200,39,0.881,0.264,0.881,0.829,0.00063,0.127,-5.968,0.122,115.418,4
200,Gettin' Jiggy Wit It,Big Willie Style,Will Smith,1997-10-03,227933,70,0.881,0.0175,0.881,0.874,1.14e-06,0.154,-4.505,0.139,107.891,4
201,Pumps and a Bump,The Funky Headhunter,MC Hammer,1994-03-01,305066,36,0.836,0.0627,0.836,0.793,2.57e-05,0.219,-7.744,0.109,106.005,4
202,Whatta Man,Very Necessary,Salt-N-Pepa,1993-10-12,308360,65,0.757,0.154,0.757,0.544,6.07e-05,0.226,-10.722,0.219,173.208,4
203,Tennessee,"3 Years, 5 Months And 2 Days In The Life Of...",Arrested Development,1992-03-24,272706,52,0.822,0.0241,0.822,0.661,3.95e-06,0.315,-10.234,0.164,99.883,4
204,Hydrate,Hydrate EP,Chaos In The CBD,2019-07-26,382572,34,0.705,0.00852,0.705,0.654,0.868,0.107,-10.782,0.0461,118.001,4
205,I Am The Black Gold Of The Sun,Nuyorican Soul,Nuyorican Soul,1997-01-01,319733,29,0.64,0.0178,0.64,0.685,0.515,0.0727,-10.99,0.0465,86.957,4
206,Light Up The Sky,A Mineral Love,Bibio,2016-04-01,218293,31,0.439,0.244,0.439,0.593,0.000232,0.107,-6.188,0.04,116.81,5
207,Palace Posy,Tomorrow's Harvest,Boards of Canada,2013-06-10,245927,30,0.814,0.0185,0.814,0.515,0.839,0.0968,-10.365,0.0369,144.712,4
208,I Don't Believe in You - 1997 Remaster,The Colour of Spring,Talk Talk,1986,302373,41,0.663,0.08,0.663,0.425,0.107,0.0424,-10.826,0.0297,85.924,4
209,The Space Between,Avalon,Roxy Music,1982-05-01,270333,39,0.715,0.15,0.715,0.841,0.0329,0.0531,-7.343,0.0372,113.151,4
210,Chinatown,Kaputt,Destroyer,2011-01-25,229026,1,0.724,0.00475,0.724,0.688,0.0108,0.199,-5.563,0.0257,114.019,4
211,Through That Feeling,Mezcalita EP,DJ Seinfeld,2020-12-04,353305,28,0.752,0.00983,0.752,0.948,0.92,0.0728,-5.723,0.0428,119.989,4
212,I Won't Forget,I Won't Forget,Logic1000,2020-12-02,273485,1,0.726,0.0448,0.726,0.928,0.874,0.0755,-8.511,0.0478,127.031,4
213,Save A Kiss,What's Your Pleasure?,Jessie Ware,2020-06-26,242266,50,0.661,0.0592,0.661,0.776,0.0546,0.137,-9.82,0.063,119.995,4
214,Lifetime,Lifetime,Romy,2020-09-29,197661,55,0.55,4.14e-05,0.55,0.796,0.0,0.103,-5.39,0.0495,128.014,4
215,Negative Returns - Four Tet Remix,Negative Returns (Four Tet Remix),Krust,2020-11-25,333176,29,0.498,0.0571,0.498,0.808,0.744,0.0769,-7.729,0.0425,169.979,4
216,Machine Funk,Music For The NAACP,Various Artists,2020-10-02,290859,20,0.76,0.00477,0.76,0.311,0.95,0.0704,-13.517,0.0604,127.999,4
217,Fair Chance - Floating Points Remix,Fair Chance (Floating Points Remix),Thundercat,2020-11-11,308214,42,0.773,0.00457,0.773,0.78,0.127,0.107,-8.667,0.115,125.01,4
218,Just the Two of Us (feat. Bill Withers),Anthology,"Grover Washington, Jr.",1985,237106,77,0.802,0.572,0.802,0.488,0.0598,0.0763,-9.304,0.0813,95.77,4
219,Day by Day (feat. Al Jarreau),City Rhythm,Shakatak,1985,226093,38,0.812,0.411,0.812,0.645,1.62e-05,0.168,-12.265,0.086,104.878,4
220,You Are in My System,Sweat,The System,1983-01-01,357812,40,0.843,0.00891,0.843,0.46,0.00247,0.132,-13.512,0.054,109.123,4
221,Ain't Nobody,"Epiphany: The Best of Chaka Khan, Vol. 1",Chaka Khan,1996-11-08,280853,67,0.8,0.189,0.8,0.878,0.000104,0.14,-7.109,0.0434,104.282,4
222,Hearts On Fire - Original Version,Hearts On Fire,Cut Copy,2008-01-01,292560,0,0.553,0.0374,0.553,0.961,0.933,0.232,-3.991,0.0481,124.971,4
223,Night And Day,In Our Heads,Hot Chip,2012-06-12,268689,24,0.761,0.03,0.761,0.781,0.0213,0.166,-5.593,0.0369,125.987,4
224,Pilots,Felt Mountain,Goldfrapp,2000-09-10,269600,35,0.354,0.347,0.354,0.372,0.237,0.0755,-10.564,0.0303,84.762,4
225,Joga,Homogenic,Björk,1997-09-23,305666,41,0.321,0.405,0.321,0.697,0.000155,0.0721,-6.266,0.057,146.161,4
226,The Sensual World,The Sensual World,Kate Bush,1989-10-16,236000,32,0.553,0.193,0.553,0.557,0.0496,0.409,-14.576,0.0322,135.712,4
227,Dear Prudence,Hyaena (Remastered And Expanded),Siouxsie and the Banshees,1984-06-08,228200,56,0.426,0.012,0.426,0.9,0.000735,0.69,-4.393,0.047,101.492,4
228,Buffalo Stance,Raw Like Sushi,Neneh Cherry,1989-01-01,342360,53,0.708,0.0113,0.708,0.627,3.13e-05,0.338,-11.155,0.0614,107.246,4
229,Alphabet St.,The Hits / The B-Sides,Prince,1993-09-13,339933,39,0.825,0.313,0.825,0.97,0.247,0.105,-5.866,0.0675,104.357,4
230,Remind me - someone else's radio remix,Remind Me,Röyksopp,2005-08-29,246200,32,0.789,0.0217,0.789,0.757,0.675,0.0527,-9.296,0.0524,126.109,4
231,Kelly Watch the Stars - Edit,Kelly Watch the Stars,Air,2004-06-11,222600,7,0.689,0.0182,0.689,0.879,0.505,0.0382,-4.148,0.0261,115.194,4
232,Cream,Diamonds and Pearls,Prince,1991-10-01,253066,0,0.861,0.0974,0.861,0.604,0.358,0.0467,-8.44,0.0719,115.588,4
233,Cantaloop (Flip Fantasia),Hand On The Torch,Us3,1993-01-01,279360,45,0.852,0.107,0.852,0.655,2.07e-05,0.137,-11.498,0.0645,115.962,4
234,If It Isn't Love,Heart Break,New Edition,1988-01-01,309840,57,0.588,0.0915,0.588,0.856,2.62e-05,0.365,-12.418,0.0378,97.968,4
235,Opposites Attract,Forever Your Girl,Paula Abdul,1988-01-01,265373,52,0.783,0.0337,0.783,0.842,2.57e-06,0.0519,-8.838,0.054,117.79,4
236,Venus,True Confessions (Collector's Edition),Bananarama,1986-01-01,229164,65,0.722,0.0883,0.722,0.961,0.61,0.278,-4.812,0.0514,126.113,4
237,I Know A Place,About U,MUNA,2017-02-03,272813,56,0.685,0.137,0.685,0.9,0.0,0.2,-4.626,0.151,111.991,4
238,Maybe You're the Reason,Good At Falling,The Japanese House,2019-03-01,218935,53,0.621,0.106,0.621,0.762,2.71e-06,0.302,-6.376,0.0328,95.014,4
239,When I Needed You,Emotion,Carly Rae Jepsen,2015-08-21,221040,33,0.57,0.0517,0.57,0.891,0.0,0.345,-3.784,0.0899,90.984,4
240,Realiti,Art Angels,Grimes,2015-11-06,306532,52,0.639,0.000904,0.639,0.632,0.0411,0.115,-7.589,0.029,114.993,4
241,Not In Love - Radio Version,(II),Crystal Castles,2011-01-01,226986,59,0.477,0.000834,0.477,0.98,0.00963,0.357,-4.204,0.0887,135.902,4
242,着物,ロストエデンへのパス,t e l e p a t h テレパシー能力者,2015-10-28,264352,25,0.243,0.896,0.243,0.4,0.74,0.164,-9.319,0.0364,83.086,4
243,心はシダであります,ロストエデンへのパス,t e l e p a t h テレパシー能力者,2015-10-28,299160,23,0.633,0.489,0.633,0.705,0.893,0.28,-12.001,0.0364,145.254,4
244,Climbing the Corporate Ladder,Dream Sequins®,Nmesh,2014-02-27,262068,39,0.772,0.00482,0.772,0.71,0.775,0.496,-7.663,0.0422,99.182,4
245,Esprit.Wav,Virtua.Zip,ESPRIT 空想,2014-05-06,210000,41,0.6,0.301,0.6,0.917,0.883,0.0837,-5.083,0.0338,159.988,4
246,VERNE ↹ Flights ̙,Hiraeth,猫 シ Corp.,2014-04-15,103497,18,0.582,0.0584,0.582,0.867,0.779,0.209,-10.729,0.0311,157.953,4
247,Sadeness - Pt. 1 / Radio Edit,Sadeness (Part I),Enigma,1990-01-01,260399,38,0.607,0.0866,0.607,0.478,0.106,0.0983,-13.677,0.0354,95.721,4
248,Justified & Ancient,Solid State Logik 1,The KLF,2021-01-01,228372,52,0.628,0.00276,0.628,0.953,0.0132,0.427,-4.989,0.0626,111.134,4
249,What Time Is Love? - Live at Trancentral,Solid State Logik 1,The KLF,2021-01-01,235851,42,0.642,0.00233,0.642,0.88,3.07e-05,0.916,-5.216,0.134,120.099,4
250,3AM Eternal - Live at the S.S.L.,Solid State Logik 1,The KLF,2021-01-01,232411,46,0.616,0.0025,0.616,0.977,0.0124,0.942,-6.357,0.0827,119.303,4
251,Lost Illusions,Gaia's Requiem,Tracing Xircles,2017-04-03,508530,0,0.527,0.0171,0.527,0.916,0.845,0.288,-7.514,0.0441,115.964,4
252,Blue Smoke,Paraworld,Ex-Terrestrial,2016-04-15,381943,25,0.651,0.0676,0.651,0.915,0.693,0.372,-10.785,0.097,106.013,4
253,Pacific Reasons,Pacific Reasons EP,Body-San,2017-05-19,358409,32,0.698,0.266,0.698,0.89,3.47e-05,0.0984,-7.884,0.0612,114.021,4
254,Castle 2 Castle,Bene's World,Benedek,2017-07-28,239997,0,0.698,0.0996,0.698,0.714,0.919,0.068,-4.507,0.0455,120.014,4
255,Night Echoes,Night Echoes,Kareem Ali,2020-05-01,316865,19,0.818,0.0444,0.818,0.767,0.000286,0.347,-8.278,0.304,128.059,4
256,Never Come Back - Four Tet Remix,Never Come Back (Four Tet Remix),Caribou,2020-05-14,465937,0,0.754,0.613,0.754,0.955,0.863,0.105,-8.795,0.0402,128.005,4
257,SW9 9SL,New Energy,Four Tet,2017-09-29,475639,38,0.71,0.592,0.71,0.832,0.924,0.098,-9.759,0.0371,128.99,4
258,New Jade,Suddenly,Caribou,2020-02-28,217666,36,0.583,0.225,0.583,0.796,0.0822,0.145,-7.546,0.0324,92.044,4
259,See-Through,World Of Echo,Arthur Russell,1986,130000,23,0.312,0.78,0.312,0.334,0.128,0.121,-17.203,0.0989,75.879,3
260,Last Bloom,Crush,Floating Points,2019-10-18,353680,37,0.711,0.197,0.711,0.646,0.894,0.0845,-11.706,0.0584,135.018,4
261,Saturnalia,Valerie and Friends,Various Artists,2009-05-27,337720,14,0.49,0.00718,0.49,0.802,0.904,0.104,-10.973,0.0378,114.988,4
262,DNT STP MY LV,DNT STP MY LV,India Jordan,2019-04-16,274546,27,0.709,0.0407,0.709,0.781,0.00271,0.237,-6.917,0.0758,134.047,4
263,VV Violence,Oh No,Jessy Lanza,2016-05-13,237897,17,0.785,0.0728,0.785,0.883,0.47,0.0644,-10.016,0.0515,133.986,4
264,Wild Girl - Paul Woolford Remix,Wild Girl (Paul Woolford Remix),Kito,2019-12-06,221931,59,0.551,0.0341,0.551,0.786,0.4,0.182,-8.434,0.0301,125.009,4
265,Come Down,Malibu,Anderson .Paak,2016-01-15,169726,65,0.841,0.271,0.841,0.898,0.0151,0.304,-7.135,0.104,98.401,4
266,First Steps,Celeste (Original Soundtrack),Lena Raine,2018-01-25,218708,46,0.545,0.379,0.545,0.635,0.0579,0.158,-7.874,0.0259,90.005,4
267,Sync,FEZ,Disasterpeace,2013-01-08,139037,5,0.25,0.0285,0.25,0.611,0.731,0.13,-7.801,0.0391,76.021,4
268,An Underlying Problem (The Lost City),Shovel Knight The Definitive Soundtrack,Jake Kaufman,2014-06-27,228448,26,0.465,0.000887,0.465,0.994,0.952,0.121,-2.635,0.0393,128.54,4
269,Air On Line,[USA],Anamanaguchi,2019-10-25,298855,33,0.507,0.0184,0.507,0.781,0.0184,0.381,-5.437,0.0345,95.019,4
270,The Music,PLAYER,CAPSULE,2010-03-03,455946,17,0.562,0.0223,0.562,0.823,0.000125,0.113,-1.798,0.0396,132.016,4
271,"Lights, Camera, Action! - Studiopolis Zone Act 1",Non-Stop Music Selection (Vol.1),Sonic The Hedgehog,2020-02-20,186429,51,0.569,0.000288,0.569,0.895,0.466,0.11,-7.516,0.0507,120.101,4
272,Blossom Haze - Press Garden Zone Act 2 (Sonic Mania),Non-Stop Music Selection (Vol.5),Sonic The Hedgehog,2020-12-23,129437,34,0.481,0.00131,0.481,0.949,0.965,0.124,-8.184,0.0388,107.986,4
273,Hydro City Zone Act 1 (Sonic Mania),Non-Stop Music Selection (Vol.4),Sonic The Hedgehog,2020-09-26,125576,33,0.433,6.65e-05,0.433,0.868,0.929,0.165,-5.97,0.0407,202.904,4
274,Prime Time - Studiopolis Zone Act 2,Sonic The Hedgehog DJ Style “Party”,Sonic The Hedgehog,2020-06-17,72000,38,0.551,1.42e-05,0.551,0.959,0.93,0.32,-6.073,0.0582,139.962,4
275,Did You See the Ocean?,Secret of Mana(Original Soundtrack),Hiroki Kikuta,1993,129733,12,0.422,0.00352,0.422,0.726,0.955,0.0926,-14.401,0.0407,141.231,4
276,Battle 2,FINAL FANTASY IV Original Soundtrack,Nobuo Uematsu,1991,73160,32,0.291,0.000498,0.291,0.583,0.94,0.339,-9.116,0.0339,172.04,4
277,Wandering,FINAL FANTASY X Original Soundtrack,Various Artists,2001-08-01,281266,41,0.179,0.919,0.179,0.285,0.867,0.185,-13.039,0.0368,77.61,5
278,Besaid,FINAL FANTASY X Original Soundtrack,Various Artists,2001-08-01,284240,42,0.634,0.963,0.634,0.363,0.822,0.103,-12.753,0.0298,108.988,4
279,Can U Read Me?,Believer / Can U Read Me?,DāM-FunK,2016-08-03,215669,0,0.539,0.15,0.539,0.386,0.691,0.237,-6.876,0.0363,99.865,4
280,Tonight,Don’t Let Get You Down,Wajatta,2020-02-28,293347,18,0.834,0.437,0.834,0.84,0.776,0.0494,-6.717,0.057,123.975,4
281,Water Walk,Urth Born,Ex-Terrestrial,2018-02-23,425091,10,0.585,0.00292,0.585,0.898,0.591,0.105,-9.75,0.0402,113.026,4
282,Distant Images,Distant Images,D.K.,2017-11-14,273684,17,0.563,0.0487,0.563,0.52,0.841,0.104,-10.108,0.0283,113.98,4
283,Leaving,Distant Images,D.K.,2017-11-14,266263,29,0.712,0.81,0.712,0.569,0.922,0.0945,-10.791,0.0326,119.996,4
284,Journey to the Sun,Island of Dreams,D.K.,2015,235171,20,0.623,0.736,0.623,0.581,0.932,0.091,-8.919,0.0284,102.007,4
285,Delete Forever - Channel Tres Remix,Miss Anthropocene (Rave Edition),Grimes,2021-01-01,181160,1,0.773,0.129,0.773,0.577,0.327,0.32,-9.779,0.053,119.993,4
286,Days,Days,Round,2020-12-18,199072,33,0.699,0.553,0.699,0.441,0.348,0.08,-12.642,0.0429,99.0,4
287,Tourist In Paradise,The Best Of The Rippingtons,The Rippingtons,1997,341093,0,0.605,0.124,0.605,0.79,0.844,0.162,-6.666,0.0288,114.055,4
288,River Song,Collection,Dave Grusin,1989-01-01,313466,11,0.761,0.112,0.761,0.535,0.892,0.0372,-16.287,0.0349,109.642,4
289,Serengeti Walk (Slippin' In The Back Door),GRP 30: The Digital Master Company 30th Anniversary,Various Artists,2012-01-01,380253,0,0.691,0.136,0.691,0.513,0.843,0.665,-10.946,0.0464,96.008,4
290,Jamaica Heartbeat - Original Version,GRP 30: The Digital Master Company 30th Anniversary,Various Artists,2012-01-01,330466,0,0.651,0.165,0.651,0.669,0.679,0.159,-7.687,0.0579,172.151,4
291,Love Notes,Kilimanjaro,The Rippingtons,1988,257000,0,0.652,0.198,0.652,0.507,0.00822,0.129,-12.655,0.0292,99.99,4
292,Cool Weasel Boogie,The Chick Corea Elektric Band,Chick Corea Elektric Band,1986-01-01,405506,0,0.567,0.269,0.567,0.335,0.282,0.0538,-15.962,0.0294,155.761,4
293,Affair In San Miguel,The Best Of The Rippingtons,The Rippingtons,1997-01-01,308826,30,0.569,0.151,0.569,0.785,0.213,0.348,-9.113,0.0302,99.744,4
